Parasites,predation,tank,week,JulianDate,host.density.L-1,infected.host.density.L-1,Prevalence
1,0.5,40,5,213,46,2,0.043478260869565
1,0.5,40,6,220,106.5,27.5,0.258215962441315
1,0.5,40,7,227,41.5,9,0.216867469879518
1,0.5,40,8,234,80.5,17,0.211180124223602
0,1,41,-1,171,10.5,0,0
0,1,41,1,185,6,0,0
0,1,41,2,192,2,0,0
0,1,41,3,199,0,0,0
0,1,41,4,206,0.5,0,0
0,1,41,5,213,0,0,0
0,1,41,6,220,1,0,0
0,1,41,7,227,89,0,0
0,1,41,8,234,131.5,0,0
0,1,42,-1,171,10.5,0,0
0,1,42,1,185,14,0,0
0,1,42,2,192,3,0,0
0,1,42,3,199,2,0,0
0,1,42,4,206,1,0,0
0,1,42,5,213,0,0,0
0,1,42,6,220,0,0,0
0,1,42,7,227,0,0,0
0,1,42,8,234,0,0,0
0,1,43,-1,171,10.5,0,0
0,1,43,1,185,3,0,0
0,1,43,2,192,0,0,0
0,1,43,3,199,0,0,0
0,1,43,4,206,0,0,0
0,1,43,5,213,0,0,0
0,1,43,6,220,1,0,0
0,1,43,7,227,5,0,0
0,1,43,8,234,71.5,0,0
1,0,44,-1,171,10.5,0,0
1,0,44,1,185,32,0,0
1,0,44,2,192,22,0,0
1,0,44,3,199,28,3,0.107142857142857
1,0,44,4,206,35.5,5.5,0.154929577464789
1,0,44,5,213,35.5,5.5,0.154929577464789
1,0,44,6,220,17.5,8,0.457142857142857
1,0,44,7,227,21,4,0.19047619047619
1,0,44,8,234,28,6,0.214285714285714
1,0,45,-1,171,10.5,0,0
1,0,45,1,185,27,0,0
1,0,45,2,192,35,0,0
1,0,45,3,199,19,2,0.105263157894737
1,0,45,4,206,21.5,0.5,0.023255813953488
1,0,45,5,213,39.5,1.5,0.037974683544304
1,0,45,6,220,31,2,0.064516129032258
1,0,45,7,227,53,15.5,0.292452830188679
1,0,45,8,234,54,6,0.111111111111111
1,0,46,-1,171,10.5,0,0
1,0,46,1,185,56,0,0
1,0,46,2,192,14,0,0
1,0,46,3,199,30,3.5,0.116666666666667
1,0,46,4,206,33,5,0.151515151515152
1,0,46,5,213,25,2,0.08
1,0,46,6,220,29.5,4,0.135593220338983
1,0,46,7,227,21,4,0.19047619047619
1,0,46,8,234,21.5,3.5,0.162790697674419
0,0.1,47,-1,171,10.5,0,0
0,0.1,47,1,185,26,0,0
0,0.1,47,2,192,14,0,0
0,0.1,47,3,199,39,0,0
0,0.1,47,4,206,32,0,0
0,0.1,47,5,213,20,0,0
0,0.1,47,6,220,35,0,0
0,0.1,47,7,227,26,0,0
0,0.1,47,8,234,47.5,0,0
0,0.1,48,-1,171,10.5,0,0
0,0.1,48,1,185,25,0,0
0,0.1,48,2,192,10,0,0
0,0.1,48,3,199,13.5,0,0
0,0.1,48,4,206,7.5,0,0
0,0.1,48,5,213,2.5,0,0
0,0.1,48,6,220,31,0,0
0,0.1,48,7,227,12,0,0
0,0.1,48,8,234,12,0,0
0,0.1,49,-1,171,10.5,0,0
0,0.1,49,1,185,28,0,0
0,0.1,49,2,192,34,0,0
0,0.1,49,3,199,69,0,0
0,0.1,49,4,206,87,0,0
0,0.1,49,5,213,37.5,0,0
0,0.1,49,6,220,43.5,0,0
0,0.1,49,7,227,58.5,0,0
0,0.1,49,8,234,34,0,0
1,1,50,-1,171,10.5,0,0
1,1,50,1,185,3,1,0.333333333333333
1,1,50,2,192,1,0,0
1,1,50,3,199,0,0,0
1,1,50,4,206,10.5,0,0
1,1,50,5,213,9,0,0
1,1,50,6,220,46,0,0
1,1,50,7,227,43,0,0
1,1,50,8,234,62.5,0,0
1,1,51,-1,171,10.5,0,0
1,1,51,1,185,1,0,0
1,1,51,2,192,0,0,0
1,1,51,3,199,0.5,0,0
1,1,51,4,206,0.5,0,0
1,1,51,5,213,1.5,0,0
1,1,51,6,220,44.5,0,0
1,1,51,7,227,73,0,0
1,1,51,8,234,21.5,0,0
1,1,52,-1,171,10.5,0,0
1,1,52,1,185,1,0,0
1,1,52,2,192,0,0,0
1,1,52,3,199,1.5,0,0
1,1,52,4,206,4,0,0
1,1,52,5,213,54,0,0
1,1,52,6,220,19,0,0
1,1,52,7,227,7,0,0
1,1,52,8,234,56.5,0,0
